id_persona,marca,veh_var1,veh_var2
14908,ACURA,0.9428571428571428,3376.0
227555,ADVANCE,0.9857142857142857,3426.0
211938,AKT,1.0,3426.0
20772,ALESIN,0.9857142857142857,3424.0
75985,ALESIN,0.9857142857142857,3424.0
39008,ALESIN,0.9857142857142857,3428.0
8398,ARGOS,0.9714285714285714,3408.0
155212,ARGOS,0.9714285714285714,3414.0
12838,ARGOS,0.9714285714285714,3426.0
100685,ARGOS,0.9714285714285714,3426.0
60712,ARIES,0.9714285714285714,3406.0
38872,ARO,0.9428571428571428,3374.0
97642,ARO,0.9571428571428572,3374.0
61285,ARO,0.9428571428571428,3374.0
34685,ARO,0.9428571428571428,3374.0
43025,ARTSUN,1.0,3414.0
247768,ASESOR MOTOR'S,0.9714285714285714,3430.0
18472,ASIA,0.8,3376.0
28655,ASIA,0.7857142857142859,3376.0
61838,ASIA,0.557142857142857,3380.0
138242,ASIA,0.6428571428571429,3384.0
28655,ASIA,0.6571428571428571,3378.0
51985,ASIA,0.8,3376.0
155685,ASIA,0.6571428571428571,3372.0
18768,ASIA,0.4,3372.0
27698,ASIA,0.6142857142857143,3378.0
28655,ASIA,,
18825,ASIA MOTORS,0.9857142857142857,3394.0
84185,ASIA MOTORS,0.6571428571428571,3384.0
137685,AUDI,0.9571428571428572,3408.0
107385,AUDI,0.9428571428571428,3402.0
227298,AUDI,0.9428571428571428,3422.0
28408,AUDI,0.9571428571428572,3424.0
31455,AUDI,0.9428571428571428,3424.0
2068,AUDI,0.9428571428571428,3426.0
19538,AUDI,0.9428571428571428,3426.0
119568,AUDI,0.9571428571428572,3412.0
28372,AUDI,0.9428571428571428,3412.0
25025,AUDI,0.9571428571428572,3426.0
51538,AUDI,0.9428571428571428,3426.0
36708,AUDI,0.9142857142857141,3426.0
54755,AUDI,0.9142857142857141,3428.0
54755,AUDI,0.9857142857142857,3428.0
128872,AUDI,0.9428571428571428,3428.0
227298,AUDI,0.9428571428571428,3428.0
10955,AUDI,0.9142857142857141,3428.0
46868,AUDI,0.9142857142857141,3428.0
10472,AUDI,0.9571428571428572,3430.0
54755,AUDI,,3432.0
115768,AUDI,,3432.0
25155,AUDI,,
27542,AUSTIN,0.9428571428571428,3340.0
204842,BAIC YINXIANG,0.9,3428.0
5412,BAJA,1.0,3422.0
78898,BAJAJ,1.0,3392.0
77925,BAJAJ,0.9714285714285714,3390.0
86385,BAJAJ,0.9571428571428572,3406.0
85108,BAJAJ,0.9714285714285714,3408.0
78638,BAJAJ,1.0,3410.0
77785,BAJAJ,1.0,3412.0
91068,BAJAJ,1.0,3412.0
145172,BAJAJ,0.9714285714285714,3412.0
78542,BAJAJ,0.9714285714285714,3412.0
85108,BAJAJ,0.9714285714285714,3412.0
109725,BAJAJ,0.9714285714285714,3414.0
120412,BAJAJ,0.9714285714285714,3392.0
164298,BAJAJ,0.9714285714285714,3404.0
5425,BAJAJ,0.9714285714285714,3406.0
3438,BAJAJ,1.0,3416.0
137168,BAJAJ,0.9714285714285714,3416.0
121068,BAJAJ,1.0,3416.0
152712,BAJAJ,1.0,3416.0
41685,BAJAJ,0.9714285714285714,3416.0
79538,BAJAJ,0.9714285714285714,3416.0
137168,BAJAJ,0.9714285714285714,3416.0
48598,BAJAJ,0.9714285714285714,3418.0
60525,BAJAJ,0.9714285714285714,3418.0
85012,BAJAJ,0.9714285714285714,3418.0
124038,BAJAJ,0.9714285714285714,3418.0
137168,BAJAJ,0.9714285714285714,3418.0
150242,BAJAJ,0.9714285714285714,3418.0
157638,BAJAJ,0.9714285714285714,3400.0
71442,BAJAJ,0.9714285714285714,3408.0
144355,BAJAJ,0.9714285714285714,3410.0
145172,BAJAJ,0.9714285714285714,3412.0
56942,BAJAJ,0.9714285714285714,3416.0
105712,BAJAJ,0.9714285714285714,3416.0
194668,BAJAJ,0.9714285714285714,3416.0
178172,BAJAJ,1.0,3418.0
91055,BAJAJ,0.9714285714285714,3418.0
110985,BAJAJ,0.9714285714285714,3418.0
137168,BAJAJ,0.9714285714285714,3418.0
168412,BAJAJ,0.9714285714285714,3418.0
75312,BAJAJ,1.0,3420.0
199155,BAJAJ,1.0,3420.0
5425,BAJAJ,0.9714285714285714,3420.0
56942,BAJAJ,0.9714285714285714,3420.0
71442,BAJAJ,0.9714285714285714,3420.0
85012,BAJAJ,0.9714285714285714,3420.0
97468,BAJAJ,0.9714285714285714,3420.0
117612,BAJAJ,0.9714285714285714,3420.0
137168,BAJAJ,0.9714285714285714,3420.0
144542,BAJAJ,0.9714285714285714,3420.0
186825,BAJAJ,0.9714285714285714,3420.0
48208,BAJAJ,0.9714285714285714,3408.0
47955,BAJAJ,1.0,3412.0
56942,BAJAJ,0.9714285714285714,3412.0
5425,BAJAJ,0.9714285714285714,3416.0
42842,BAJAJ,0.9714285714285714,3416.0
50612,BAJAJ,0.9714285714285714,3416.0
255912,BAJAJ,0.9714285714285714,3416.0
71442,BAJAJ,0.9714285714285714,3418.0
118255,BAJAJ,1.0,3420.0
163198,BAJAJ,1.0,3420.0
172398,BAJAJ,1.0,3420.0
60525,BAJAJ,0.9714285714285714,3420.0
137168,BAJAJ,0.9714285714285714,3420.0
170712,BAJAJ,0.9714285714285714,3420.0
199072,BAJAJ,0.9714285714285714,3420.0
255325,BAJAJ,0.9714285714285714,3420.0
99725,BAJAJ,1.0,3422.0
108168,BAJAJ,1.0,3422.0
119768,BAJAJ,0.9857142857142857,3422.0
20912,BAJAJ,0.9714285714285714,3422.0
149512,BAJAJ,0.9714285714285714,3422.0
162612,BAJAJ,0.9714285714285714,3422.0
192855,BAJAJ,0.9714285714285714,3422.0
29272,BAJAJ,0.9714285714285714,3410.0
61238,BAJAJ,0.9714285714285714,3412.0
42842,BAJAJ,0.9714285714285714,3414.0
59068,BAJAJ,0.9714285714285714,3416.0
100085,BAJAJ,0.9714285714285714,3416.0
170398,BAJAJ,0.9714285714285714,3416.0
121512,BAJAJ,,3416.0
60525,BAJAJ,0.9714285714285714,3418.0
61568,BAJAJ,0.9714285714285714,3418.0
151072,BAJAJ,0.9714285714285714,3418.0
5742,BAJAJ,0.9857142857142857,3422.0
185808,BAJAJ,0.9857142857142857,3422.0
232098,BAJAJ,0.9857142857142857,3422.0
38508,BAJAJ,0.9571428571428572,3422.0
134598,BAJAJ,0.9571428571428572,3422.0
195555,BAJAJ,0.9571428571428572,3422.0
3212,BAJAJ,0.9857142857142857,3424.0
10085,BAJAJ,0.9857142857142857,3424.0
137168,BAJAJ,0.9857142857142857,3424.0
154385,BAJAJ,0.9857142857142857,3424.0
76625,BAJAJ,0.9571428571428572,3424.0
100085,BAJAJ,0.9571428571428572,3424.0
